"hint.skinner.title" : "About Skinner"
"hint.skinner.detail" : "In Plan17, Skinner is a very special neutral role.<br>Almost all neutrals will receive a "dog tag" Modifier.<br>Some neutrals will be marked and marked neutrals win together with Skinner.<br>The mark will be released when marked Cavalier die."
"hint.kindnessJackal.title" : "KindnessJackal"
"hint.kindnessJackal.detail" : "If the sidekick's leader becomes kindness, then he will immediately transform into Jackal."

# GuesserEX
"role.guesser.guessText" : "Guessed %NAME% as %ROLE%！"
"guessLockedText" : "%LOCKEDTEXT2%%ROLE%"
"guessLockedText2" : "guess role:"
"options.role.guesser.canteamwin" : "Guesser Can Team Win"
"options.role.guesser.teamwinguessnum" : "Num Of Need Guess To Win"
"options.role.guesser.teamwinoption" : "Team Winning Settings"
"options.role.guesser.cannotguessnospwanableRole" : "Only Can Guess Possible Role"

# GM
"options.assignments.hostisGM" : "Host is GM(role)"
"role.gamemaster.name" : "GameMaster"
"role.gamemaster.short" : "GM"
"role.gamemaster.blurb" : "Outsiders in charge of the overall situation"
"options.role.gamemaster.detail" : "You can manage others"
"game.metaAbility.player" : "player"
"game.metaAbility.tabs.players" : "player"
"game.metaAbility.tabs.gameends" : "Game Settlement"
"game.metaAbiliry.tabs.traps" : "TELEPORT"
"teams.gm" : "GameMaster"

# 船员Crewmate

"role.celestialdog.name" : "Celestialdog"
"role.celestialdog.short" : "Dog"
"role.celestialdog.blurb" : "It is moonnight"
"options.role.celestialdog.detail" : "Use ability to become celestialdog, during the skill only can repoter. <br>Can have a certain num of kill, If there is a corpse within a body nearby."
"options.role.celestialdog.skillCoolDown" : "Moon Time Cooldown"
"options.role.celestialdog.skillDuration" : "Moon Time"
"options.role.celestialdog.killCooldown" : "Kill Cooldown"
"options.role.celestialdog.killnum" : "Num Of Shots"
"options.role.celestialdog.cankillstate" : "Kill Mode"
"options.role.celestialdog.state.InEffect" : "Moon Time"
"options.role.celestialdog.state.none" : "Anytime"
"options.role.celestialdog.endskillcanusetp" : "Can Teleport When Skill End"
"button.label.celestialdog.skill" : "EATMOON"
"button.label.celestialdog.teleport" : "TELEPORT"

"role.engineer.name" : "Engineer"
"role.engineer.short" : "Eng"
"role.engineer.blurb" : "Repair time"
"options.role.engineer.detail" : "You can use vent"
"options.role.engineer.cooldown" : "Vent Cooldown"

"role.ferryman.name" : "Ferryman"
"role.ferryman.short" : "FM"
"role.ferryman.blurb" : "Welcome aboard"
"options.role.ferryman.detail" : "Ferryman can see dead flash,and can see the ghost."
"options.role.ferryman.canseedeadflash" : "Can See Dead Flash"
"options.role.ferryman.canseeghost" : "Can See All Ghosts"
"options.role.ferryman.beforemeetingstartcanseeghost" : "Before Next Meeting,Can See Ghost In This Action Phase"
"options.role.ferryman.candragdeadbody" : "Can Drag Dead Body"

"role.justicePlus.name" : "Judge"
"role.justicePlus.short" : "Ju"
"role.justicePlus.blurb" : "Stand still,face trial for your crimes"
"options.role.justicePlus.detail" : "Judge is made on the basis of Justice<br>Judge can choose one or more players to place on the balance<br>and begin a special meeting."
"options.role.JusticePlus.JusticePlusMaxPlayer" : "Max Num Of Players On The Balance"
"options.role.JusticePlus.JusticePlusMinPlayer" : "Min Num Of Players On The Balance"
"options.role.JusticePlus.JusticePlusMeetingTime" : "Judge Meeting Time"
"options.role.JusticePlus.OnlyOnePlayerCanSkip" : "Only One Player In The Balance,Half Of The Players Is Required Before Exile"
"stats.JusticePlus.exiled" : "Num Of Expelled Players On The Balance"
"stats.JusticePlus.nonCrewmates" : "Num Of Expelled Non Crew Players On The Balance"

"role.knight.name" : "Knight"
"role.knight.short" : "K"
"role.knight.blurb" : "For Justice"
"options.role.knight.detail" : "Knight can kill anyone.<br>But there is a limit on the number of times."
"options.role.knight.op1" : "Num Of Shots"
"options.role.knight.op2" : "Kill Cooldown"
"options.role.knight.op3" : "Can Kill Hiding Player"
"options.role.knight.op4" : "Seal Ability Until Reporting Dead Bodies"
"options.role.knight.op5" : "Bodies Within A Certain Range,Can Be Killed Immediately"
"options.role.knight.op3.detail" : "When Enabled, Can Kill Hiding Players."
"options.role.knight.op4.detail" : "When Enabled, You can shooting from the beginning."
"options.role.knight.op5.detail" : "When Enabled, If there are body around, can be shoot."

"role.lovemesseger.name" : "Love Messeger"
"role.lovemesseger.short" : "LM"
"role.lovemesseger.blurb" : "Come and join us"
"role.lovemesseger.prefix" : "Kindness"
"options.role.lovemesseger.detail" : "You can convey love to make them join the crewmate, but encountering someone who cannot be influenced will die"
"options.role.lovemesseger.cooldown" : "Spread Cooldown"
"options.role.lovemesseger.crewmate" : "Target Is Crewnate Will Die"
"options.role.lovemesseger.neutral" : "Target Is Neutral Will Die"
"options.role.lovemesseger.impostor" : "Target Is Impostor Will Die"
"options.role.lovemesseger.beforeReportUseSkill" : "Cannot Use Abilities Before First Meeting"
"state.regret" : "Regret"

"role.shifter.name" : "Ordinary Shifter"
"role.shifter.short" : "OS"
"role.shifter.blurb" : "Can you give me your role?"
"options.role.shifter.detail" : "Ordinary Shifter can be exchanged for someone else's role."
"options.role.shifter.shiftCoolDown" : "Shift Cooldown"
"options.role.shifter.canCallEmergencyMeeting" : "Can Call Emergency Meeting"

"role.swapper.name" : "Swapper"
"role.swapper.short" : "Sw"
"role.swapper.blurb" : "Show the Results now~"
"role.swapper.leftswap" : "Num Of Swaps"
"options.role.swapper.detail" : "Swapper can swaps votes between two player. "
"options.role.swapper.op1" : "Num Of Swaps"
"options.role.swapper.op2" : "Can Only Swap Others"

"role.sommelier.name" : "Sommelier"
"role.sommelier.short" : "Som"
"role.sommelier.blurb" : "Drunkenness Reveals"
"options.role.sommelier.detail" : "After sommelier hands over wine to 2/3 of the players,<br>and can Identify at any meeting. This skill can determine the number of impostor and neutral among the players being handed wine. <br>After the identification skill is activated, each round of meetings will know how many killers there are in this round."
"options.role.sommelier.markedCooldown" : "Passing Wine Cooldown"
"options.role.sommelier.markedDuration" : "Passing Wine Duration"
"options.role.sommelier.useskillnum" : "Identify Num Of Updates"
"role.sommelier.killernumtext" : "There are %KILLERNUM% murderers this time"
"role.sommelier.nelandimpnum" : "They said there are %IMPNUM%Imp,%NEUNUM%Neutral Among Them"
"button.label.SLmark" : "PASSINGWINE"

"role.nicesplicer.name" : "Nice Splicer"
"role.nicesplicer.short" : "NS"
"role.nicesplicer.blurb" : "Shuttling through space"
"options.role.nicesplicer.detail" : "Nice Splicer can use the ability to teleport to the other side of the wall."
"role.evilsplicer.name" : "Evil Splicer"
"role.evilsplicer.short" : "ES"
"role.evilsplicer.blurb" : "The end is the beginning"
"options.role.evilsplicer.detail" : "Evil Splicer can use the ability to instantly kill players on the other side of the wall."
"options.role.splicer.NicewarpCoolDown" : "Warp Cooldown"
"options.role.splicer.EvilwarpCoolDown" : "Warp Cooldown"
"options.role.splicer.warpMaxDistance" : "Max Warp Distance"
"options.role.splicer.PreWarpTime" : "Prepare Time"
"options.role.splicer.WarpUseTime" : "Warp Time"
"options.role.splicer.NicewarpFailStartCooldown" : "Warp Failedly then Start Cooldown"
"options.role.splicer.EvilwarpFailStartCooldown" : "Warp Failedly then Start Cooldown"
"options.role.splicer.warpStartvanish" : "Invisible while Warping"
"options.role.splicer.usewarpLeftMark" : "Left Warping Evidence"
"options.role.splicer.killfailwarp" : "Teleport After Warping Failedly"
"options.role.splicer.hasnormalkill" : "Has Normal Kill"
"options.role.splicer.CanKillImpostor" : "Can Kill Imp"
"options.role.splicer.warpingIgnoreBlackout" : "Ignore Black Out while Warping"
"button.label.warp" : "WARP"
"button.label.warp2" : "WARP"

# 伪装者Impostor

"role.bountyHunterMod.name" : "Hunter"
"role.bountyHunterMod.short" : "Hun"
"role.bountyHunterMod.blurb" : "Get Rich Quick!"
"options.role.bountyHunterMod.detail" : "Hunter can gain a special Cooldown.<br>If they kill them but the bounty, they'll gain penalty Cooldown."
"options.role.bountyHunterMod.bountyKillCoolDown" : "Bounty Kill Cooldown"
"options.role.bountyHunterMod.othersKillCoolDown" : "Others Kill Cooldown"
"options.role.bountyHunter.changeBountySkill" : "Can Changed Bounty Interval"
"options.role.bountyHunter.changeBountySkillcooldown" : "Change Cooldown"
"button.label.bountyhunter.changetarget" : "Change Bounty Interval"

"role.crawlerengineer.name" : "Crawler Engineer"
"role.crawlerengineer.short" : "CE"
"role.crawlerengineer.blurb" : "Look at these data"
"options.role.crawlerengineer.detail" : "Crawler engineers can use special map skills to view the real-time location of everyone, and the tablet is visible to all when using special maps<br>Impostor can see each other's main role and some special attachments<br>This role can see all types of madmate and can mark the role of others to present to teammates"
"role.crawlerMarkPlayerText" : "Crawler Mark As:%ROLE%"
"role.crawlerEngineer.Marktarget" : "MARK ROLE"
"role.crawlerengineer.haswatching" : "Can See Votes"
"role.crawlerengineer.nocamouflager" : "Ignore Camouflage Effects"

"role.crow.name" : "Crow"
"role.crow.short" : "Cr"
"role.crow.blurb" : "Crows bring you darkness"
"role.crow.CrewmateRole" : "Crewmate"
"role.crow.NeutralRole" : "Neutral"
"role.crow.ImpostorRole" : "Imposteor"
"role.crow.useskilltext" : "Crow has enveloped it"
"options.role.crow.detail" : "Crow can use the envelop to block the player's view, and can mark a teleportation point.<br>When crow is present, the eviction animation only displays the player's faction"
"options.role.crow.skillCoolDown" : "Envelop Cooldown"
"options.role.crow.skilltime" : "Envelop Duration"
"options.role.crow.markCoolDown" : "Mark Cooldown"
"options.role.crow.teleportCoolDown" : "Transmit Cooldown"
"options.role.crow.otherimpblock" : "Impostor Affected By Envelop"
"options.role.crow.useskillotherimpcansee" : "Enveloping Notify Other Impostor"
"options.role.crow.activeexilemessage" : "Only Displays The Player's Faction"
"options.role.crow.otherimpcanseeexile" : "Impostor Can See Comfirm Ejects"
"button.label.crow" : "ENVELOP"
"button.label.cteleport" : "TRANSMIT"

"role.evilAce.name" : "Evil Ace"
"role.evilAce.short" : "EA"
"role.evilAce.blurb" : "♪Show you its significance♪"
"options.role.evilAce.detail" : "Evil Ace can know the role of the player it kills, and when the EA kills, its cooldown decreases."
"options.role.evilAce.killcooldown" : "Kill Initial Cooldown"
"options.role.evilAce.murdersub" : "Kill Reduce Cooldown"
"options.role.evilAce.mincd" : "Min Kill Cooldown"

"role.marksMan.name" : "Marksman"
"role.marksMan.short" : "Marks"
"role.marksMan.blurb" : "Get the drop on"
"options.role.marksMan.detail" : "Marksman can store bullets to achieve the effect of consecutive kills.<br>Can use bullets to kill when killing cooldown is unfinished."
"options.role.marksman.killcooldown" : "Kill Cooldown"
"options.role.marksman.maxbullet" : "Max Bullet"
"options.role.marksman.resetcooldown" : "Use Bullets To Reduce Cooldown To"
"options.role.marksman.loadbulletcooldown" : "Bullet Usable Cooldown"
"button.label.marksman.unloadbullet" : "STORING BULLETS"
"button.label.marksman.loadbullet" : "USE BULLET"

"role.ninja.name" : "Ninjia"
"role.ninja.short" : "Ni"
"role.ninja.blurb" : "Attack secretly"
"options.role.ninja.detail" : "Ninja is a profession of impostor with invisible ability"
"options.role.ninja.vanishCoolDown" : "Invisible Cooldown"
"options.role.ninja.vanishDuration" : "Invisible Duration"
"button.label.vanish" : "INVISIBLE"

"role.soulrefiner.name" : "Soul Refiner"
"role.soulrefiner.short" : "SR"
"role.soulrefiner.blurb" : "Take away your body and burn your soul again."
"options.role.soulrefiner.detail" : "He can release a soul refining array centered around,and players who stay in the array for a certain period of time will die. <br>Only he can see Soul Refining Formation"
"options.role.soulrefiner.killadddistance" : "Killing increases the range of the Soul Refining Formation"
"options.role.soulrefiner.distance" : "Initial Soul Refining Formation"
"options.role.soulrefiner.maxdistance" : "MAX Soul Refining Formation"
"options.role.soulrefiner.skillCooldown" : "Soul Refining Formation Cooldown"
"options.role.soulrefiner.skilltime" : "Soul Refining Formation Duration"
"options.role.soulrefiner.killtime" : "Soul Refining Time"
"options.role.soulrefiner.lockSkill" : "Kill Certain Players To Unlock SRF"
"options.role.soulrefiner.unlockKillnum" : "Need Kill"
"options.role.soulrefiner.canKillImpostor" : "SRF Can Kill Impostor"
"options.role.soulrefiner.SkillKillIsRemote" : "Soul Refiner Teleports To Kill"
"button.label.refiner" : "SOUL REFIN"
"role.soulrefiner.origindistance" : "Soul Refiner<color=white>: Initial SRF</color>"
"role.soulrefiner.adddistance" : "Soul Refiner<color=white>: Kill To Increase Range</color>"
"state.refiner" : "Artifice"

"role.speechEater.name" : "Speech Eater"
"role.speechEater.short" : "SE"
"role.speechEater.blurb" : "Eat.Eat your words"
"options.role.speechEater.detail" : "Speech Eater can devour the speech of other players and prevent them from speaking<br>SE can guess,first guess wrong won't die."
"options.role.speecheater.numOfEat" : "Num Of EAT"
"options.role.speecheater.cooldown" : "EAT Cooldown"
"options.role.speecheater.crewmate" : "Crewmate Eating Speeches Can Be Seen Others Speaking"
"options.role.speecheater.neutral" : "Neutral Eating Speeches Can Be Seen Others Speaking"
"options.role.speecheater.impostor" : "Impostor Eating Speeches Can Be Seen Others Speaking"
"button.label.eaterR" : "EATVOICE"

"role.dreamweaver.name" : "Dreamweaver"
"role.dreamweaver.short" : "DW"
"role.dreamweaver.blurb" : "Seems that you Troubled by Insomnias"
"role.dreamweaverM.name" : "Dreamweaver"
"role.dreamweaverM.short" : "DW"
"role.dreamweaverM.generalBlurb" : "Dreams come at a cost"
"options.role.dreamweaverM.detail" : "Dreamweaver is impostor and appear alongside insomniacs.<br>Dreamweaver have always known who insomniac are, and insomniac who enter their dreams follow Dreamweaver to victory"
"options.role.dreamweaver.detail" : "Dreamweaver is impostor and appear alongside insomniacs.<br>Dreamweaver have always known who insomniac are, and insomniac who enter their dreams follow Dreamweaver to victory"
"role.dreamweaver.prefix" : "Weaving Dreams"
"role.insomniacs.name" : "Insomniacs"
"role.insomniacs.short" : "In"
"role.insomniacs.blurb" : "Please Weave Dreams for me"
"role.insomniacsM.name" : "Insomniacs"
"role.insomniacsM.short" : "In"
"role.insomniacsM.generalBlurb" : "Long term insomnia"
"options.role.insomniacs.detail" : "Insomnia is crew and appear together with the Dreamweaver.<br>After successfully trying to fall asleep, insomnia sufferers follow the Dreamweaver to win and gain killing ability.<br>If the Dreamweaver dies, insomnia sufferers wake up from their dreams and become powerless crew,and then follow the crew camp to win."
"options.role.insomniacsM.detail" : "Insomnia is crew and appear together with the Dreamweaver.<br>After successfully trying to fall asleep, insomnia sufferers follow the Dreamweaver to win and gain killing ability.<br>If the Dreamweaver dies, insomnia sufferers wake up from their dreams and become powerless crew,and then follow the crew camp to win."
"options.role.insomniacs.killCoolDown" : "Kill Cooldown"
"options.role.insomniacs.killcatoption" : "Schrodinger's Cat Can Get Dreaming Modifier When Killed"
"options.role.insomniacs.ShowDeadBodyArrow" : "location Of The Bodies Points Towards"
"options.role.insomniacs.OnDreamweaverDeadToCrewmate" : "Sleeping Insomnia Become Crewmate After The Dreamweaver Dies"
"options.role.insomniacs.IfNoSleepNoWin" : "Without Sleeping Cannot Win"
"options.role.dreamweaver.canselectrole" : "Can Choose Role"
"options.role.insomniacs.selectrolenum" : "Num Of Selectable Role"
"options.role.dreamweaver.selectroleImmediately" : "Dreamweaver Role Changes Immediately"
"role.insomniacs.prefix" : "Dreaming"
"button.label.trytosleep" : "TRY TO SLEEP"
"teams.DreamweaverAndInsomniacs" : "TRY SLEEP NOW...?"
"role.insomniacs.onRemoveModifier" : "Can't sleep?Or woke up?"


"role.outlawLeaderShower.name" : "Outlaw"
"role.outlawLeaderShower.short" : "OL"
"role.outlawLeaderShower.blurb" : "Relax, this is normal"
"options.role.outlawLeaderShower.detail" : "Outlaw consists of one protogenesis imp and two following imps"
"role.outlawLeader.name" : "Leader"
"role.outlawLeader.short" : "LD"
"role.outlawLeader.blurb" : "Take the path of your ultimate demise"
"options.role.outlawLeader.detail" : "Leader knows other original impostors while assistant and dunner cannot know.<br>Assistant,dunner and leader knows each other.<br>If the leader dies,one following impostor will be able to kill,while another one dies together with the leader."
"role.assistant.name" : "Assistant"
"role.assistant.short" : "AT"
"role.assistant.blurb" : "Disappear in your shadow"
"button.label.assistant.shapeshift" : "SHAPESHIFT"
"options.role.assistant.detail" : "Assistant appears with Laeder, and cannot know other original impostors.<br>If the leader dies,one following impostor will be able to kill,while another one dies together with the leader.<br>Assistant with killing ability also know other impostors.<br>You can shapeshift, after able to kill can also shapeshift."
"role.dunner.name" : "Dunner"
"role.dunner.short" : "DN"
"role.dunner.blurb" : "Demand all of your debts"
"options.role.dunner.detail" : "Dunner appears with Laeder, and cannot know other original impostors.<br>If the leader dies,one following impostor will be able to kill,while another one dies together with the leader.<br>Dunner with killing ability also know other impostors.<br>You can claer the body, after able to kill can also clear."
"options.role.outlaw.assistantOptions" : "Assistant Settings"
"options.role.outlaw.assistant.shapeshiftcooldown" : "Shapeshift Cooldown"
"options.role.outlaw.assistant.shapeshiftduration" : "Shapeshift Duration"
"options.role.outlaw.assistant.shapeshiftleaveEvidence" : "Leave Shapeshifting Evidence"
"options.role.outlaw.dunnerOptions" : "Dunner Settings"
"options.role.outlaw.dunner.cleancooldown" : "Clean Cooldown"
"options.role.outlaw.dunner.syncKillAndCleanCoolDown" : "Clear Use Kill Cooldown"

# 第三方Neutral
"role.doomsayer.name" : "Doomguesser"
"role.doomsayer2.name" : "Doomsayer"
"role.doomsayer.short" : "Doom"
"role.doomsayer.blurb" : "Win The Everything♬"
"role.doomsayer.guessText" : "Doomsayer Guessed %NAME% as %ROLE%！"
"role.doomsayer.winleftguess" : "Winning Requires Guessing Shots"
"options.role.doomsayer.detail" : "Doomsayer win by guessing a certain number of player role.<br>Guessing wrong will not lead to suicide."
"options.role.guessnum" : "Need Guess To Win"
"options.role.guesscankillPlayer" : "Guess Can Kill"
"options.role.GuessKillShowAnim" : "Guess Use Killing Animation"
"options.role.canuseoracle" : "Can Use Insight"
"options.role.beforemeetingstartnosecondskill" : "Every Round Only Once Insight"
"options.role.oracleCooldown" : "Insight Cooldown"
"options.role.OracleGetRoleNum" : "Get Roles Num Of Insight"
"options.role.getroleisspawnable" : "Only Get Possible Role"
"role.doomsayer.oracletext" : "The object of your insight%NAME%  might be<br>%ROLE%"
"button.label.doomsayer.oracle" : "INSIGHT"
"role.doomsayer.oracleGroup" : "Insight Settings"

"role.knighted.name" : "Cavalier"
"role.knighted.short" : "Ca"
"role.knighted.blurb" : "At your Disposal"
"options.role.knighted.detail" : "Cvalier is neutral role, you can choose a player to pledge allegiance to, and you will follow the loyal player to win"
"options.role.knighted.op1" : "Num Of Shots"
"options.role.knighted.op2" : "Kill Cooldown"
"options.role.knighted.op3" : "Cavalier Can Kill Master"
"options.role.knighted.op4" : "Master Can Kill Cavalier"

"role.lawyer.name" : "Lawyer"
"role.lawyer.short" : "La"
"role.lawyer.blurb" : "Defend your clients"
"options.role.lawyer.detail" : "A lawyer starts with a Target, who will only be a imp or Jackal. Helping Target to victory."
"options.role.lawyer.targetknowmyisclient" : "Target Knows Have Lawyer"
"options.role.lawyer.winaftermeetings" : "Wins After Meeting"
"options.role.lawyer.winneededmeetings" : "Needed Meetings To Win"
"options.role.lawyer.lawyerknowclientrole" : "Knows Target Role"
"options.role.lawyer.lawyercannotguessclient" : "Can Not Shot Target"
"role.pursuer.name" : "Pursuer"
"role.pursuer.short" : "Pu"
"role.pursuer.blurb" : "Under acceptance"
"options.role.pursuer.detail" : "Can use blank to sotp others kill.<br>Surviving until the end to win with others."
"options.role.pursuer.blankcd" : "Blank Cooldown"
"options.role.pursuer.blanknum" : "Num Of Blanks"
"options.role.pursuer.TaskIsCrewmate" : "Tasks Included In The Total Crew Tasks"
"role.lawyerclient.name" : "Target"
"role.lawyerclient.short" : "Target"
"role.lawyerclient.generalBlurb" : "Ready, remember to bring your lawyer."
"options.role.lawyerclient.detail" : "Lawyer has a target.<br>As long as the customer survives, follow the target to win.Target will not know who is lawyer."
"teams.lawyer" : "Lawyer"
"teams.pursuer" : "Pursuer"
"end.lawyer1" : "Lawyer%EXTRA%Win"
"end.lawyer2" : "Lawyer Replaces Target%EXTRA%Win"
"end.extra.lawyer3" : " <color=#FFFFFF>+</color>Pursuer"
"button.label.blank" : "BLANKS"

"role.tunny.name" : "Tuna"
"role.tunny.short" : "T"
"role.tunny.blurb" : "Don't stop!"
